task_id,suite,task_name,instruction,episode,episode_seed,success,n_steps,max_steps,timeout,distractor_density,n_distractors,n_pick_targets,n_grasp_attempts,n_gripper_close_events,n_close_commands,time_to_first_close,frac_closed,path_length,min_target_dist,final_target_dist,time_to_min_pick_dist,min_place_dist,final_place_dist,min_eef_place_dist,final_eef_place_dist,pick_displacement,eef_z_min,eef_z_max,nearest_at_first_close,correct_object_at_first_close,likely_recovery,success_video_gated,frame_path,fail_frame_path,success_video_path
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,10,1010,1,141,280,0,0.7142857142857143,5,1,0,0,2,,0.0,1.1917,0.0097,0.064,138,0.0526,0.0526,0.0922,0.1137,0.523,0.0446,0.2867,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,11,1011,1,139,280,0,0.7142857142857143,5,1,0,0,2,,0.0,1.2105,0.0113,0.0595,136,0.0485,0.0485,0.0863,0.1064,0.5093,0.0437,0.2919,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,12,1012,1,141,280,0,0.7142857142857143,5,1,0,0,2,,0.0,1.2124,0.0087,0.0814,138,0.0395,0.0395,0.0909,0.1201,0.5102,0.0436,0.2854,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,13,1013,1,136,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.2027,0.0098,0.0347,134,0.0611,0.0611,0.0817,0.0954,0.5108,0.0437,0.2878,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,14,1014,1,142,280,0,0.7142857142857143,5,1,0,0,2,,0.0,1.198,0.0132,0.0604,139,0.0674,0.0674,0.0997,0.1278,0.5098,0.0433,0.2915,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,15,1015,1,139,280,0,0.7142857142857143,5,1,0,0,2,,0.0,1.2342,0.0083,0.0834,136,0.0332,0.0332,0.0904,0.1162,0.5125,0.0438,0.2889,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,16,1016,1,128,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.1812,0.0135,0.0141,59,0.0804,0.0804,0.0916,0.0916,0.5329,0.0439,0.2854,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,17,1017,1,139,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.2172,0.0102,0.0647,136,0.0551,0.0551,0.095,0.1193,0.5361,0.0442,0.2886,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,18,1018,1,141,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.2407,0.0117,0.0605,138,0.0523,0.0523,0.0863,0.1115,0.5267,0.0435,0.2939,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,19,1019,1,143,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.2582,0.0078,0.0278,141,0.07,0.07,0.082,0.0961,0.5409,0.044,0.284,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,20,1020,1,139,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.2771,0.0149,0.0793,50,0.0367,0.0367,0.0987,0.1135,0.5079,0.0439,0.3025,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,21,1021,1,141,280,0,0.7142857142857143,5,1,0,0,2,,0.0,1.2099,0.0124,0.0755,138,0.0403,0.0403,0.0873,0.1157,0.5056,0.0432,0.2866,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,22,1022,1,142,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.2461,0.0091,0.0835,139,0.0341,0.0341,0.0914,0.1165,0.52,0.0434,0.2972,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,23,1023,1,137,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.2485,0.01,0.059,46,0.0506,0.0506,0.0815,0.1094,0.4985,0.0439,0.2964,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,24,1024,1,141,280,0,0.7142857142857143,5,1,0,0,2,,0.0,1.2149,0.0105,0.0805,138,0.036,0.036,0.0934,0.1147,0.5291,0.0444,0.293,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,25,1025,1,136,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.1959,0.0104,0.0805,133,0.0379,0.0379,0.0962,0.1127,0.5256,0.0444,0.2889,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,26,1026,1,138,280,0,0.7142857142857143,5,1,0,0,2,,0.0,1.191,0.0181,0.0509,44,0.0679,0.0679,0.0958,0.1178,0.5188,0.0432,0.2914,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,27,1027,1,139,280,0,0.7142857142857143,5,1,0,0,2,,0.0,1.1877,0.0089,0.0302,137,0.0714,0.0714,0.083,0.1006,0.5175,0.0442,0.2888,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,28,1028,1,139,280,0,0.7142857142857143,5,1,0,0,2,,0.0,1.1951,0.0093,0.0827,136,0.0299,0.0299,0.0876,0.1105,0.5123,0.0443,0.2818,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,29,1029,1,140,280,0,0.7142857142857143,5,1,0,0,2,,0.0,1.1937,0.0102,0.0817,137,0.0438,0.0438,0.0974,0.1233,0.5298,0.0448,0.2909,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,30,1030,1,139,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.2608,0.009,0.0695,48,0.047,0.047,0.0891,0.1147,0.5223,0.0444,0.2854,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,31,1031,1,137,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.1991,0.0101,0.0819,134,0.0483,0.0483,0.1002,0.1294,0.5136,0.0435,0.2888,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,32,1032,1,141,280,0,0.7142857142857143,5,1,0,0,2,,0.0,1.2264,0.0082,0.0811,138,0.0494,0.0494,0.0952,0.1284,0.5047,0.0439,0.2878,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,33,1033,1,139,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.2677,0.011,0.0846,47,0.0357,0.0357,0.0844,0.1146,0.5231,0.0441,0.2926,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,34,1034,1,140,280,0,0.7142857142857143,5,1,0,0,2,,0.0,1.1871,0.0109,0.0823,137,0.0378,0.0378,0.0933,0.1136,0.5134,0.0439,0.2838,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,35,1035,1,139,280,0,0.7142857142857143,5,1,0,0,2,,0.0,1.2107,0.0081,0.0811,136,0.0313,0.0313,0.0917,0.1112,0.5033,0.0438,0.2847,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,36,1036,1,140,280,0,0.7142857142857143,5,1,0,0,2,,0.0,1.2105,0.0097,0.0693,137,0.0545,0.0545,0.0939,0.1197,0.5078,0.0436,0.2936,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,37,1037,1,139,280,0,0.7142857142857143,5,1,0,0,2,,0.0,1.2208,0.0088,0.059,136,0.0567,0.0567,0.0883,0.1136,0.5081,0.0439,0.2888,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,38,1038,1,139,280,0,0.7142857142857143,5,1,0,0,2,,0.0,1.2113,0.0128,0.0746,136,0.0433,0.0433,0.0915,0.1161,0.5213,0.0433,0.289,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,39,1039,1,137,280,0,0.7142857142857143,5,1,0,0,2,,0.0,1.2066,0.0089,0.0334,135,0.0695,0.0695,0.0881,0.1024,0.5178,0.0432,0.2938,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,40,1040,1,141,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.2121,0.0088,0.0718,138,0.0361,0.0361,0.0849,0.1059,0.5121,0.0439,0.2902,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,41,1041,1,138,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.1977,0.0094,0.0775,135,0.0433,0.0433,0.0976,0.1188,0.5275,0.0438,0.2843,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,42,1042,1,135,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.1767,0.0196,0.0557,44,0.0497,0.0497,0.091,0.1048,0.4988,0.0428,0.2951,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,43,1043,1,141,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.2453,0.0091,0.0609,138,0.0601,0.0601,0.0902,0.1203,0.5158,0.0435,0.2908,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,44,1044,1,140,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.2134,0.0144,0.0923,49,0.0352,0.0352,0.1001,0.1268,0.5171,0.0436,0.2901,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,45,1045,1,129,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.1641,0.0134,0.0141,61,0.0802,0.0802,0.0907,0.0907,0.5376,0.044,0.2823,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,46,1046,1,135,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.1626,0.0093,0.0695,132,0.0423,0.0423,0.0925,0.1112,0.5141,0.0446,0.2837,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,47,1047,1,126,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.1514,0.0132,0.0137,59,0.0804,0.0804,0.0918,0.0918,0.5291,0.0442,0.2869,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,48,1048,1,140,280,0,0.7142857142857143,5,1,0,0,2,,0.0,1.272,0.0147,0.0801,50,0.0314,0.0314,0.0894,0.11,0.5163,0.0445,0.3041,,,0,0,,,
libero_object_0,libero_object,pick up the alphabet soup and place it in the basket,Pick the alphabet soup and place it in the basket,49,1049,1,129,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.1511,0.0111,0.0801,126,0.045,0.045,0.0982,0.121,0.5161,0.045,0.2865,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,0,1000,1,129,280,0,0.7142857142857143,5,1,0,0,3,,0.0,1.0091,0.0215,0.0677,77,0.0676,0.0676,0.1004,0.1339,0.4056,0.009,0.2708,,,0,0,outputs/custom_eval_recovery/libero_object/frames/libero_object_1_initial.jpg,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,1,1001,1,121,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.0313,0.0085,0.0652,57,0.0688,0.0688,0.1087,0.1322,0.3961,0.009,0.26,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,2,1002,1,123,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.0082,0.0194,0.0665,59,0.0595,0.0595,0.0996,0.1252,0.388,0.0089,0.2599,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,3,1003,1,129,280,0,0.7142857142857143,5,1,0,0,2,,0.0,0.9872,0.0187,0.0877,45,0.0847,0.0847,0.1334,0.1596,0.3688,0.0089,0.2692,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,4,1004,1,129,280,0,0.7142857142857143,5,1,0,0,2,,0.0,0.9736,0.0033,0.0628,126,0.0682,0.0682,0.1076,0.1303,0.3814,0.0089,0.2608,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,5,1005,1,134,280,0,0.7142857142857143,5,1,0,0,2,,0.0,0.9881,0.0211,0.1011,44,0.0876,0.0876,0.136,0.1724,0.375,0.0088,0.2795,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,6,1006,1,123,280,0,0.7142857142857143,5,1,0,0,2,,0.0,0.9713,0.0263,0.0794,42,0.0528,0.0528,0.1101,0.1321,0.3808,0.0091,0.2652,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,7,1007,1,123,280,0,0.7142857142857143,5,1,0,0,2,,0.0,0.9598,0.0305,0.0807,42,0.0519,0.0519,0.1142,0.1323,0.3683,0.0088,0.2631,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,8,1008,1,123,280,0,0.7142857142857143,5,1,0,0,2,,0.0,0.9822,0.0233,0.0734,42,0.063,0.063,0.1092,0.1343,0.3847,0.0092,0.2625,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,9,1009,1,122,280,0,0.7142857142857143,5,1,0,0,1,,0.0,0.9432,0.005,0.1329,52,0.0341,0.0341,0.1234,0.1435,0.3252,0.0091,0.2673,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,10,1010,1,122,280,0,0.7142857142857143,5,1,0,0,2,,0.0,0.9776,0.0223,0.0764,44,0.0678,0.0678,0.1117,0.137,0.3679,0.0091,0.2781,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,11,1011,1,126,280,0,0.7142857142857143,5,1,0,0,2,,0.0,1.0027,0.0092,0.0635,123,0.0567,0.0567,0.0986,0.1197,0.3739,0.0087,0.2623,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,12,1012,1,126,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.0442,0.0212,0.1315,86,0.0189,0.0189,0.1077,0.1391,0.3609,0.0094,0.2748,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,13,1013,1,123,280,0,0.7142857142857143,5,1,0,0,1,,0.0,0.9688,0.0053,0.0648,78,0.0645,0.0645,0.1126,0.1271,0.3709,0.0086,0.2626,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,14,1014,1,126,280,0,0.7142857142857143,5,1,0,0,1,,0.0,0.9585,0.0128,0.0842,54,0.0801,0.0801,0.1292,0.1537,0.3697,0.0088,0.2627,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,15,1015,1,121,280,0,0.7142857142857143,5,1,0,0,2,,0.0,0.9586,0.0296,0.0787,41,0.0542,0.0542,0.1143,0.1303,0.374,0.009,0.2552,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,16,1016,1,121,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.0184,0.0144,0.1324,52,0.0202,0.0202,0.1125,0.1453,0.3818,0.0091,0.2787,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,17,1017,1,129,280,0,0.7142857142857143,5,1,0,0,2,,0.0,1.0008,0.0043,0.0628,51,0.0565,0.0565,0.1005,0.1174,0.3927,0.0095,0.2697,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,18,1018,1,123,280,0,0.7142857142857143,5,1,0,0,2,,0.0,0.9754,0.0222,0.0927,43,0.0606,0.0606,0.1144,0.145,0.3702,0.009,0.2655,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,19,1019,1,121,280,0,0.7142857142857143,5,1,0,0,1,,0.0,0.9459,0.0108,0.0785,94,0.067,0.067,0.1156,0.1413,0.3626,0.0086,0.2631,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,20,1020,1,130,280,0,0.7142857142857143,5,1,0,0,3,,0.0,0.9992,0.0113,0.108,91,0.0426,0.0426,0.1181,0.1488,0.3714,0.0086,0.2587,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,21,1021,1,123,280,0,0.7142857142857143,5,1,0,0,2,,0.0,0.9982,0.0207,0.1296,44,0.0279,0.0279,0.1155,0.1472,0.3695,0.0089,0.274,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,22,1022,1,120,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.0095,0.0249,0.0757,44,0.0685,0.0685,0.1121,0.1355,0.3845,0.0089,0.256,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,23,1023,1,118,280,0,0.7142857142857143,5,1,0,0,1,,0.0,0.9929,0.013,0.0481,50,0.0705,0.0705,0.0934,0.118,0.4071,0.009,0.2457,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,24,1024,1,121,280,0,0.7142857142857143,5,1,0,0,2,,0.0,0.952,0.027,0.0812,42,0.0609,0.0609,0.1136,0.133,0.355,0.009,0.2643,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,25,1025,1,118,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.0083,0.0133,0.0912,55,0.07,0.07,0.1306,0.1559,0.3807,0.0096,0.2585,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,26,1026,1,121,280,0,0.7142857142857143,5,1,0,0,2,,0.0,0.9661,0.0254,0.0769,43,0.0541,0.0541,0.1087,0.1304,0.3758,0.0093,0.2736,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,27,1027,1,123,280,0,0.7142857142857143,5,1,0,0,2,,0.0,1.0014,0.0048,0.0646,56,0.0667,0.0667,0.1093,0.1306,0.3707,0.0091,0.2675,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,28,1028,1,123,280,0,0.7142857142857143,5,1,0,0,1,,0.0,0.9584,0.0229,0.0887,83,0.0559,0.0559,0.1156,0.1363,0.3602,0.0097,0.2608,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,29,1029,1,123,280,0,0.7142857142857143,5,1,0,0,2,,0.0,0.9222,0.0189,0.0911,44,0.082,0.082,0.1384,0.1594,0.3498,0.0089,0.2649,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,30,1030,1,118,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.0319,0.0255,0.1353,43,0.0245,0.0245,0.1159,0.1429,0.3603,0.0095,0.2538,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,31,1031,1,121,280,0,0.7142857142857143,5,1,0,0,1,,0.0,1.0448,0.0138,0.1341,43,0.0186,0.0186,0.1114,0.1434,0.3711,0.0094,0.255,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,32,1032,1,122,280,0,0.7142857142857143,5,1,0,0,2,,0.0,0.9544,0.0245,0.079,42,0.0586,0.0586,0.1131,0.1331,0.3668,0.009,0.2642,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,33,1033,1,121,280,0,0.7142857142857143,5,1,0,0,1,,0.0,0.9516,0.0047,0.062,54,0.0749,0.0749,0.1174,0.1343,0.3588,0.0088,0.2554,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,34,1034,1,118,280,0,0.7142857142857143,5,1,0,0,1,,0.0,0.979,0.0189,0.0839,50,0.0741,0.0741,0.1188,0.1483,0.375,0.0094,0.2763,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,35,1035,1,129,280,0,0.7142857142857143,5,1,0,0,1,,0.0,0.9879,0.0037,0.0474,61,0.0745,0.0745,0.0983,0.1203,0.3963,0.0088,0.2539,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,36,1036,1,117,280,0,0.7142857142857143,5,1,0,0,1,,0.0,0.9739,0.0095,0.0675,49,0.0683,0.0683,0.1132,0.1345,0.3763,0.0089,0.2614,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,37,1037,1,120,280,0,0.7142857142857143,5,1,0,0,2,,0.0,0.9738,0.0179,0.1328,43,0.0264,0.0264,0.1139,0.145,0.349,0.0089,0.2604,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,38,1038,1,123,280,0,0.7142857142857143,5,1,0,0,2,,0.0,0.9746,0.0231,0.076,41,0.0658,0.0658,0.1126,0.1354,0.3788,0.0093,0.2538,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,39,1039,1,124,280,0,0.7142857142857143,5,1,0,0,2,,0.0,0.9666,0.0269,0.0813,43,0.0538,0.0538,0.1105,0.1253,0.3661,0.0087,0.2568,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,40,1040,1,123,280,0,0.7142857142857143,5,1,0,0,2,,0.0,0.9669,0.0258,0.0779,43,0.0532,0.0532,0.1088,0.1254,0.3618,0.0091,0.2627,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,41,1041,1,128,280,0,0.7142857142857143,5,1,0,0,2,,0.0,0.9961,0.0214,0.0903,43,0.0808,0.0808,0.1268,0.1585,0.3676,0.0093,0.2644,,,0,0,,,
libero_object_1,libero_object,pick up the cream cheese and place it in the basket,Pick the cream cheese and place it in the basket,42,1042,1,122,280,0,0.7142857142857143,5,1,0,0,2,,0.0,0.9239,0.0244,0.0837,44,0.0617,0.0617,0.1247,0.1398,0.3446,0.0091,0.2597,,,0,0,,,
